Execuções, Tabela Hash (s), Árvore Binária de Pesquisa (s), Busca Sequencial (s), Chave, Colisões
Execução 1:,        0.000003000,        0.000003000,        0.001361000,        0,        4
Execução 2:,        0.000004000,        0.000004000,        0.001238000,        0,        4
Execução 3:,        0.000004000,        0.000004000,        0.000901000,        0,        4
Execução 4:,        0.000002000,        0.000003000,        0.001448000,        0,        4
Execução 5:,        0.000003000,        0.000003000,        0.000919000,        23354067,        5
Execução 6:,        0.000004000,        0.000004000,        0.000776000,        22570623,        2
Execução 7:,        0.000004000,        0.000003000,        0.001253000,        0,        4
Execução 8:,        0.000004000,        0.000004000,        0.000938000,        22514520,        8
Execução 9:,        0.000003000,        0.000003000,        0.001189000,        0,        4
Execução 10:,        0.000003000,        0.000004000,        0.001294000,        0,        4
Execução 11:,        0.000003000,        0.000003000,        0.000381000,        20181447,        2
Execução 12:,        0.000004000,        0.000004000,        0.000456000,        24860809,        2
Execução 13:,        0.000003000,        0.000004000,        0.000542000,        23797371,        2
Execução 14:,        0.000003000,        0.000004000,        0.000123000,        21810055,        1
Execução 15:,        0.000003000,        0.000003000,        0.000401000,        24976442,        3
Execução 16:,        0.000003000,        0.000004000,        0.000344000,        21514114,        1
Execução 17:,        0.000003000,        0.000004000,        0.000641000,        23327416,        5
Execução 18:,        0.000004000,        0.000004000,        0.001109000,        24775243,        11
Execução 19:,        0.000003000,        0.000003000,        0.000285000,        22818510,        2
Execução 20:,        0.000004000,        0.000005000,        0.000766000,        23127344,        6
Execução 21:,        0.000003000,        0.000003000,        0.001258000,        0,        4
Execução 22:,        0.000003000,        0.000004000,        0.000381000,        21712043,        1
Execução 23:,        0.000004000,        0.000004000,        0.000904000,        23792506,        10
Execução 24:,        0.000004000,        0.000004000,        0.001226000,        24951150,        9
Execução 25:,        0.000004000,        0.000004000,        0.001148000,        21277403,        5
Execução 26:,        0.000003000,        0.000003000,        0.000276000,        24660671,        1
Execução 27:,        0.000002000,        0.000003000,        0.000107000,        24902175,        2
Execução 28:,        0.000003000,        0.000003000,        0.001225000,        0,        4
Execução 29:,        0.000003000,        0.000003000,        0.000265000,        21147974,        1
Execução 30:,        0.000003000,        0.000004000,        0.000417000,        24363057,        1
Média (s),        0.000003300,        0.000003600,        0.000785733
